Module,"Field Name","Field Type",Label,"Label Source",Required,"Read Only",Custom,"Linked Entity","DB Table","DB Column(s)","DB Column Type(s)","Options / Definition Details"
Account,numberOfEmployees,int,"[OLD] Number of Employees",i18n:fields,,,yes,,account,number_of_employees,int,
Account,originalLead,linkOne,"Original Lead",i18n:fields,,yes,,Lead,account,"(not stored)",,view=views/fields/link-one
Account,outreach_attempts_current,int,"Outreach Attempts Current",auto,,,yes,,account,outreach_attempts_current,int,
Account,phoneNumber,phone,Phone,i18n:fields,,,,,account,"(not stored)",,
Account,phoneNumberIsInvalid,bool,"Phone Number is Invalid",i18n:fields,,,,,account,"(not stored)",,notStorable=true
Account,phoneNumberIsOptedOut,bool,"Phone Number is Opted-Out",i18n:fields,,,,,account,"(not stored)",,notStorable=true
Account,policies,linkMultiple,Policies,auto,,,yes,Policy,account,"(not stored)",,
Account,policyCountActive,int,"Active Policies",i18n:fields,,yes,yes,,account,policy_count_active,int,
Account,preferred_contact,enum,"Preferred Contact",auto,,,yes,,account,preferred_contact,varchar(255),options=[|Phone|Email|Text]
Account,premiumChangeAmountConverted,currencyConverted,"Premium Change Amount Converted",auto,,yes,,,account,"(not stored)",,
Account,premiumChangeAmountCurrency,enum,"Premium Change Amount Currency",auto,,,,,account,premium_change_amount_currency,varchar(3),"maxLength=3; view=views/fields/currency-list"
Account,premium_change_amount,currency,"Premium Change Amount",auto,,,yes,,account,premium_change_amount|premium_change_amount_currency,double|varchar(3),
Account,premium_change_pct,float,"Premium Change Pct",auto,,,yes,,account,premium_change_pct,double,
Account,primaryDob,date,"Primary Dob",auto,,,yes,,account,primary_dob,date,
Account,primaryEmail,email,"Primary Email",auto,,,yes,,account,"(not stored)",,
Account,primaryEmailIsInvalid,bool,"Primary Email Is Invalid",auto,,,,,account,"(not stored)",,notStorable=true
Account,primaryEmailIsOptedOut,bool,"Primary Email Is Opted Out",auto,,,,,account,"(not stored)",,notStorable=true
Account,primaryFirstName,varchar,"Primary First Name",auto,,,yes,,account,primary_first_name,varchar(100),maxLength=100
Account,primaryGender,enum,"Primary Gender",auto,,,yes,,account,primary_gender,varchar(255),"options=[|Male|Female|Other|Prefer not to say]"
Account,primaryLastName,varchar,"Primary Last Name",auto,,,yes,,account,primary_last_name,varchar(100),maxLength=100
Account,primaryOccupation,text,"Primary Occupation",auto,,,yes,,account,primary_occupation,mediumtext,
Account,primaryPhone,phone,"Primary Phone",auto,,,yes,,account,"(not stored)",,
Account,primaryPhoneIsInvalid,bool,"Primary Phone Is Invalid",auto,,,,,account,"(not stored)",,notStorable=true
Account,primaryPhoneIsOptedOut,bool,"Primary Phone Is Opted Out",auto,,,,,account,"(not stored)",,notStorable=true
Account,property_address,text,"Property Address",auto,,,yes,,account,property_address,mediumtext,
